,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
144,NY,Cattaraugus,36009,2011,0.0,2,0.0,0.0,0.0,-78.607656,42.224267
145,NY,Cattaraugus,36009,2012,0.0,4,1.0,0.25,0.0,-78.607656,42.224267
146,NY,Cattaraugus,36009,2013,0.0,6,1.0,0.16666666666666666,0.0,-78.607656,42.224267
147,NY,Cattaraugus,36009,2014,0.0,8,1.0,0.125,0.0,-78.607656,42.224267
148,NY,Cattaraugus,36009,2015,0.0,13,4.0,0.3076923076923077,0.0,-78.607656,42.224267
149,NY,Cattaraugus,36009,2016,0.0,15,4.0,0.26666666666666666,0.0,-78.607656,42.224267
150,NY,Cattaraugus,36009,2017,0.0,31,6.0,0.1935483870967742,0.0,-78.607656,42.224267
151,NY,Cattaraugus,36009,2018,17.0,41,9.0,0.2195121951219512,0.01299346505140062,-78.607656,42.224267
152,NY,Cattaraugus,36009,2019,17.0,60,16.0,0.26666666666666666,0.01299346505140062,-78.607656,42.224267
153,NY,Cattaraugus,36009,2020,26.0,68,17.0,0.25,0.01987235831390683,-78.607656,42.224267
154,NY,Cayuga,36011,2010,0.0,11,0.0,0.0,0.0,-76.56004399999999,42.93537
155,NY,Cayuga,36011,2011,1.0,12,0.0,0.0,0.0014459643136007405,-76.56004399999999,42.93537
156,NY,Cayuga,36011,2012,1.0,19,2.0,0.10526315789473684,0.0014459643136007405,-76.56004399999999,42.93537
157,NY,Cayuga,36011,2013,1.0,21,3.0,0.14285714285714285,0.0014459643136007405,-76.56004399999999,42.93537
158,NY,Cayuga,36011,2014,1.0,29,4.0,0.13793103448275862,0.0014459643136007405,-76.56004399999999,42.93537
159,NY,Cayuga,36011,2015,1.0,35,6.0,0.17142857142857146,0.0014459643136007405,-76.56004399999999,42.93537
160,NY,Cayuga,36011,2016,1.0,35,11.0,0.3142857142857143,0.0014459643136007405,-76.56004399999999,42.93537
161,NY,Cayuga,36011,2017,3.0,54,19.0,0.35185185185185186,0.004337892940802221,-76.56004399999999,42.93537
162,NY,Cayuga,36011,2018,3.0,81,24.0,0.2962962962962963,0.004337892940802221,-76.56004399999999,42.93537
163,NY,Cayuga,36011,2019,7.0,103,25.0,0.2427184466019417,0.01012175019520518,-76.56004399999999,42.93537
164,NY,Cayuga,36011,2020,9.0,124,24.0,0.1935483870967742,0.013013678822406664,-76.56004399999999,42.93537
165,NY,Chautauqua,36013,2010,0.0,13,0.0,0.0,0.0,-79.31467099999999,42.246256
166,NY,Chautauqua,36013,2011,0.0,14,1.0,0.07142857142857142,0.0,-79.31467099999999,42.246256
167,NY,Chautauqua,36013,2012,2.0,20,4.0,0.2,0.001886383143280232,-79.31467099999999,42.246256
168,NY,Chautauqua,36013,2013,2.0,48,8.0,0.16666666666666666,0.001886383143280232,-79.31467099999999,42.246256
169,NY,Chautauqua,36013,2014,2.0,61,9.0,0.14754098360655735,0.001886383143280232,-79.31467099999999,42.246256
170,NY,Chautauqua,36013,2015,6.0,68,13.0,0.19117647058823528,0.005659149429840696,-79.31467099999999,42.246256
171,NY,Chautauqua,36013,2016,6.0,77,21.0,0.2727272727272727,0.005659149429840696,-79.31467099999999,42.246256
172,NY,Chautauqua,36013,2017,6.0,103,24.0,0.2330097087378641,0.005659149429840696,-79.31467099999999,42.246256
173,NY,Chautauqua,36013,2018,6.0,149,33.0,0.2214765100671141,0.005659149429840696,-79.31467099999999,42.246256
174,NY,Chautauqua,36013,2019,10.0,183,36.0,0.19672131147540986,0.009431915716401158,-79.31467099999999,42.246256
175,NY,Chautauqua,36013,2020,25.0,237,42.0,0.17721518987341772,0.023579789291002896,-79.31467099999999,42.246256
176,NY,Chemung,36015,2010,0.0,7,0.0,0.0,0.0,-76.813046,42.118262
177,NY,Chemung,36015,2011,3.0,7,1.0,0.14285714285714285,0.007364674113170492,-76.813046,42.118262
178,NY,Chemung,36015,2012,3.0,18,5.0,0.2777777777777778,0.007364674113170492,-76.813046,42.118262
179,NY,Chemung,36015,2013,3.0,30,8.0,0.26666666666666666,0.007364674113170492,-76.813046,42.118262
180,NY,Chemung,36015,2014,3.0,37,10.0,0.2702702702702703,0.007364674113170492,-76.813046,42.118262
181,NY,Chemung,36015,2015,3.0,47,14.0,0.2978723404255319,0.007364674113170492,-76.813046,42.118262
182,NY,Chemung,36015,2016,3.0,61,22.0,0.3606557377049181,0.007364674113170492,-76.813046,42.118262
183,NY,Chemung,36015,2017,5.0,77,27.0,0.35064935064935066,0.012274456855284154,-76.813046,42.118262
